site,permanently_below_0_001_from_step,state_gate_mean,state_gate_low_fraction,candidate_rms,effective_update_rms,struct_gain,write_relative_rms,write_gate_mean,read_gate_mean
A@5,96,8.59090407345775e-08,1.0,0.7537281739711762,1.0892609214607773e-08,-2.682209014892578e-09,0.20757469147443772,1.0,0.3601303207874298
A@10,88,4.1760566773518805e-08,1.0,0.6831304025650025,3.5878420634460894e-09,2.9802322387695313e-10,0.21885021537542343,1.0,0.19118266850709914
A@15,76,1.1924391770889997e-07,1.0,0.6753518378734589,1.3997756553862928e-08,-1.1920928955078125e-09,0.14759721726179123,1.0,0.1585261991620064
A@20,91,9.678926990090985e-06,1.0,0.6795467829704285,1.3179221616610448e-06,3.069639205932617e-08,0.08454240843653679,1.0,0.18457459419965744
A@25,100,6.221259923222533e-07,1.0,0.7089081835746766,8.633034127569772e-08,0.0,0.11668271735310555,1.0,0.1612648519873619
A@30,76,4.065262314725259e-06,1.0,0.652090631723404,5.203612016657644e-07,2.3245811462402345e-08,0.0031177573511376976,0.09763921290636063,0.12414643600583077
