clip_rgb_fraction,felt_far_hp,felt_far_std,felt_near_hp,felt_near_std,frame,frame_mad_320,highpass_abs_native,laplacian_var_native,mean_luma,sample,time_s,wall_hp,wall_std
0.029560620857007575,,,,,0,0.0,2.0528194904327393,111.95317840576172,119.20486450195312,P01,0.0,,
0.03571222478693182,,,,,1,2.4941840171813965,2.158552885055542,117.27354431152344,119.65713500976562,P01,0.041666666666666664,,
0.04011341441761364,,,,,2,2.4465010166168213,2.2126739025115967,126.5439453125,119.3557357788086,P01,0.08333333333333333,,
0.040685295336174244,,,,,3,2.0647294521331787,2.1956088542938232,123.93174743652344,119.26249694824219,P01,0.125,,
0.0460031220407197,,,,,4,2.1234796047210693,2.2996866703033447,141.500732421875,118.74727630615234,P01,0.16666666666666666,,
0.04173029119318182,,,,,5,3.824911117553711,2.1398215293884277,116.05380249023438,120.13964080810547,P01,0.20833333333333334,,
0.03704427083333333,,,,,6,2.871070384979248,2.047173023223877,104.04118347167969,120.9214859008789,P01,0.25,,
0.03939356948390151,,,,,7,2.8083417415618896,2.1525402069091797,118.23783874511719,120.8636474609375,P01,0.2916666666666667,,
0.039582223603219696,,,,,8,2.1705434322357178,2.134887456893921,116.27266693115234,120.9454574584961,P01,0.3333333333333333,,
0.039798620975378785,,,,,9,3.0330421924591064,2.208631992340088,126.4554672241211,120.97969055175781,P01,0.375,,
0.03902291962594697,,,,,10,2.945603132247925,2.2251081466674805,129.16375732421875,120.79644775390625,P01,0.4166666666666667,,
0.040646084872159094,,,,,11,2.244483470916748,2.2578039169311523,136.8163604736328,120.69536590576172,P01,0.4583333333333333,,
0.04168701171875,,,,,12,1.833337426185608,2.2579314708709717,136.2173309326172,120.33833312988281,P01,0.5,,
0.03952044862689394,,,,,13,3.7068870067596436,2.227874994277954,137.8770751953125,121.24752044677734,P01,0.5416666666666666,,
0.03793982303503788,,,,,14,2.865572929382324,2.237062931060791,137.06307983398438,121.4677963256836,P01,0.5833333333333334,,
0.03958962180397727,,,,,15,2.8049826622009277,2.3125641345977783,150.4813995361328,121.46461486816406,P01,0.625,,
0.04079145951704546,,,,,16,2.820876359939575,2.3312034606933594,154.6861572265625,121.40164947509766,P01,0.6666666666666666,,
0.039430190577651514,,,,,17,4.0833916664123535,2.2829430103302,154.18121337890625,121.52676391601562,P01,0.7083333333333334,,
0.03853944720643939,,,,,18,4.228065013885498,2.286170244216919,156.30296325683594,121.16205596923828,P01,0.75,,
0.03720296223958333,,,,,19,4.140364170074463,2.2443251609802246,149.75633239746094,121.07429504394531,P01,0.7916666666666666,,
0.040089740175189396,,,,,20,3.6538429260253906,2.300525665283203,159.19223022460938,120.50482940673828,P01,0.8333333333333334,,
0.0386422821969697,,,,,21,4.943027496337891,2.253286600112915,150.3014373779297,120.9475326538086,P01,0.875,,
0.040160023082386365,,,,,22,4.390347480773926,2.2543387413024902,152.60525512695312,121.06269836425781,P01,0.9166666666666666,,
0.04122018525094697,,,,,23,3.6581664085388184,2.247889518737793,154.7268524169922,120.92140197753906,P01,0.9583333333333334,,
0.04361202355587121,,,,,24,3.7027432918548584,2.2689571380615234,158.3817901611328,120.6876220703125,P01,1.0,,
0.04173325047348485,,,,,25,4.903877258300781,2.2249152660369873,155.14222717285156,120.94609069824219,P01,1.0416666666666667,,
0.042091323390151515,,,,,26,5.235191822052002,2.230154514312744,152.76881408691406,120.67835235595703,P01,1.0833333333333333,,
0.041981830018939396,,,,,27,5.433773517608643,2.1945693492889404,148.3465576171875,120.59259796142578,P01,1.125,,
0.045411635890151514,,,,,28,4.494370460510254,2.226353168487549,152.4709014892578,120.24190521240234,P01,1.1666666666666667,,
0.04573863636363636,,,,,29,5.23419189453125,2.269087791442871,161.1272735595703,120.14314270019531,P01,1.2083333333333333,,
0.047477583451704546,,,,,30,5.102142810821533,2.320749282836914,169.88119506835938,119.95314025878906,P01,1.25,,
0.04660089666193182,,,,,31,5.141425132751465,2.2843732833862305,168.0672607421875,120.072265625,P01,1.2916666666666667,,
0.048249215790719696,,,,,32,4.995694160461426,2.2414963245391846,163.15452575683594,119.59536743164062,P01,1.3333333333333333,,
0.045280687736742424,,,,,33,5.365871429443359,2.1273281574249268,146.88072204589844,119.5827407836914,P01,1.375,,
0.044677734375,,,,,34,5.139225482940674,2.1749825477600098,154.176513671875,119.53443145751953,P01,1.4166666666666667,,
0.045539624763257576,,,,,35,4.702296257019043,2.19840669631958,158.052001953125,119.48001861572266,P01,1.4583333333333333,,
0.046527284564393936,,,,,36,4.438052654266357,2.215486526489258,161.03494262695312,119.17424011230469,P01,1.5,,
0.04347700639204546,,,,,37,5.256832599639893,2.0625481605529785,142.28472900390625,119.85282897949219,P01,1.5416666666666667,,
0.04393569483901515,,,,,38,4.822708606719971,2.035377025604248,136.25669860839844,120.05474853515625,P01,1.5833333333333333,,
0.044877485795454544,,,,,39,4.739902496337891,2.026789903640747,136.26821899414062,120.15579986572266,P01,1.625,,
0.046324203953598486,,,,,40,4.358720302581787,2.0166985988616943,133.95689392089844,120.04405975341797,P01,1.6666666666666667,,
0.045917302911931815,,,,,41,5.3836989402771,2.0136232376098633,129.42921447753906,120.05909729003906,P01,1.7083333333333333,,
0.04397120620265151,,,,,42,5.040198802947998,2.009638786315918,128.5503387451172,120.23270416259766,P01,1.75,,
0.045158247514204546,,,,,43,4.771610736846924,2.0871520042419434,140.08872985839844,120.09202575683594,P01,1.7916666666666667,,
0.04675699869791667,,,,,44,4.718914031982422,2.115515947341919,143.98667907714844,119.8494873046875,P01,1.8333333333333333,,
0.044567131273674246,,,,,45,5.601742267608643,2.1108734607696533,142.58883666992188,120.0960922241211,P01,1.875,,
0.04464148319128788,,,,,46,5.128296852111816,2.1403708457946777,149.427001953125,120.17400360107422,P01,1.9166666666666667,,
0.04498549952651515,,,,,47,4.947377681732178,2.142467737197876,152.0309295654297,120.18905639648438,P01,1.9583333333333333,,
0.04690496271306818,,,,,48,4.702474594116211,2.1575300693511963,152.07388305664062,119.89891815185547,P01,2.0,,
0.04576342033617424,,,,,49,5.129347801208496,2.122541904449463,149.26510620117188,120.16755676269531,P01,2.0416666666666665,,
0.04534616181344697,,,,,50,4.967308521270752,2.0951476097106934,147.49803161621094,120.33318328857422,P01,2.0833333333333335,,
0.046577592329545454,,,,,51,5.147243499755859,2.134502649307251,151.16514587402344,120.28385162353516,P01,2.125,,
0.04818559126420455,,,,,52,5.461069583892822,2.138129472732544,150.07574462890625,120.08325958251953,P01,2.1666666666666665,,
0.04608450224905303,,,,,53,5.427979469299316,2.1302757263183594,147.66688537597656,120.19820404052734,P01,2.2083333333333335,,
0.046107066761363634,,,,,54,5.255751609802246,2.143096446990967,146.6482391357422,120.1729965209961,P01,2.25,,
0.045932469223484845,,,,,55,4.82937479019165,2.1210289001464844,142.88255310058594,120.28202819824219,P01,2.2916666666666665,,
0.0471383759469697,,,,,56,4.024660587310791,2.129772186279297,142.34092712402344,120.06385040283203,P01,2.3333333333333335,,
0.047056625828598486,,,,,57,4.662037372589111,2.1721205711364746,152.6722869873047,119.91292572021484,P01,2.375,,
