run,case,mode,frames,global_chroma_jump,global_chroma_acceleration,raw_local_chroma_change,warped_chroma_change,flow_pixels_at_192
oracle60_100,demo20/P05/t2v/seed42_full.json,t2v,121,0.0027877814136445522,0.003294489113613963,0.004468279837359053,0.004149952779698651,0.28256571060822655
stable_final,demo20/P05/t2v/seed42_full.json,t2v,121,0.000280772743280977,0.0003999992331955582,0.001422824749412636,0.0011328212696146997,0.21018863862846046
stable100,demo20/P06/i2v/seed42_full.json,i2v,121,0.0003584209771361202,0.0003054759290535003,0.0021445727213479887,0.0013869991271349136,0.2984819842968136
oracle60_100,demo20/P06/i2v/seed42_full.json,i2v,121,0.00043513363925740123,0.00038336592842824757,0.002267837656715225,0.0016835008774554203,0.3166967074541996
stable_final,demo20/P06/i2v/seed42_full.json,i2v,121,0.0004460495547391474,0.0003464469045866281,0.0019552225746641244,0.0015226891517765276,0.31000064935845634
stable100,demo20/P06/t2v/seed42_full.json,t2v,121,0.0010411025723442435,0.000639480073004961,0.004414526087324096,0.002498365892582418,1.0785774481482804
oracle60_100,demo20/P06/t2v/seed42_full.json,t2v,121,0.0011175231775268912,0.0010341955348849297,0.006756294242222793,0.004778423398480906,0.6720591453214486
stable_final,demo20/P06/t2v/seed42_full.json,t2v,121,0.0014274789718911052,0.0011293224524706602,0.004126383251908313,0.0027972810067391643,0.6004658207142105
stable100,demo20/P07/i2v/seed42_full.json,i2v,121,0.0001876752940006554,0.00024118361761793494,0.0009262411966725874,0.000660834283674679,0.19698911285959184
oracle60_100,demo20/P07/i2v/seed42_full.json,i2v,121,0.00017128932813648134,0.0002535355743020773,0.0011123926986329024,0.0008394811700175827,0.253454550774768
stable_final,demo20/P07/i2v/seed42_full.json,i2v,121,0.00013764019240625203,0.00016204775602091104,0.0007786105348714045,0.0005512695275077324,0.1999555624711017
stable100,demo20/P07/t2v/seed42_full.json,t2v,121,0.00039615854620933533,0.00039339184877462685,0.0014933166066233147,0.0014245130571604629,0.1755803205848982
